,0
0,RT @BDUTT: Yesterday I questioned wisdom of parliament continuing while everything else was shutting down. And trolls pounced. Sad to have…
1,RT @babyyyputa: Literally @Starbucks to employees affected in corona virus areas. https://t.co/hX4KyuqCTO
2,RT @VDPAssociates: Astounding death tally in Europe and Iran.Most likely Communist China faked its data.Indian authorities should be ruthle…
3,"@itsdanielleruss Big fan Hope Mikaelson 🥰🥰 i m from India 🇮🇳 , Corona virus is most affected virus in many countries and you also stay safe and take care 😘😘"
4,"RT @tinaishematope: Not a Gaddafi fanboy, but he knew how the principalities of darkness operate."
5,"RT @basak_rimpa: Death due to corona virus

Wrapped in a bag, can't be bathed.Can't bring the body home, the family can't touch the body an…"
6,RT @INDIEWASHERE: ppl are literally are fighting to death to get the last scrap of toilet paper to wipe their ass and for diapers and celeb…
7,"@BruceWilliams__ neither, because the handle individual cases. somebody ""curing"" corona would be a researcher or an epidemiologist.. we adore having 1 on 1 heros, but the real heroes will be the ppl House constantly aggravates.. he would probably be the first to say: I cannot really contribute"
8,"RT @Angry_Voice: And now, the rabid Tory propagandists suddenly care about the innocent victims of savage Tory welfare reforms, purely beca…"
9,RT @sankrant: According to this Muslim woman Corona virus comes from the Quran. It is a Qurana virus which will not affect Muslims (because…
10,RT @ntsikimazwai: If Corona was affecting black people we would be seeing sick africans all over the newspapers 🤔
11,RT @Princemudi_: This Corona virus has proven one thing. It takes God nothing to wipe off everything and everyone from the face of this Ear…
12,"RT @paulajaynebyrne: just to clarify, I don't have Corona virus; just a heart attack.  but am feeling better. Too much stress in my life. I…"
13,RT @Patwreid: @albericie So teachers are spared the risk while babysitters are expendable? I understand the anxiety. I don’t know the answe…
14,"im nervous fuckkk, napaos ako for no reason and now im contemplating if shit... did i really let corona enter my body https://t.co/Q6lqjXuT0S"
15,"RT @atuleshkhantwal: @sudhirchaudhary Prevent from corona, but also be effortive to build strong immunity. our immunity 90 percent depend o…"
16,RT @_SJPeace_: Iran is facing a Corona virus Catastrophe due to U.S sanctions which are preventing the import of much needed medicine and m…
17,@TeamJuJu Ab said he wants you get to get get corona on his burner account. Shits sad
18,"Corona Deaths Italy:
22.02.:   2      x 10 in 7 days 
29.02.:   29    x 10 in  7 days
08.03.:   366  x 10 in  7 days [15.03. 3.660 Deaths; ]
19.03.:   3500 -in reality 11 days later...
#COVID19 #Coronakrise #COVID2019 #COVID19de #COVID19deutschland #wirbleibenzuhause #WirvsVirus"
