,0
0,"RT @ayoagbato: @Damii_aros *Rema enters*
Na you be my core owner, you dey do my body like Corona"
1,"Here’s some basic guidelines on how to talk to your children about the corona / covid-19 virus. This is all Parenting!

Can’t hit every point or it’ll be a directors cut, but U can ask questions...

#mentalhealth #feelings #anxiety #parenting #emotionalintelligence #children https://t.co/8sGKm6jpnG"
2,Sean Payton has Corona fml...
3,RT @LOOTAVELI: FOR ALL U FUCK BOYS N STANK HOES TALKING SHIT TALMBOUT I GOT CORONA CUZ I WAS ON TOUR IN EUROPE CHASING BAGS FUCK U SUCK MY…
4,RT @DillonFrancis: Someone please make a Corona Virus Challenge on tik tok where people stay inside for 30 days because at this point it’s…
5,"Will We Die from Corona Disease?

What do you feel when I say about Corona? Moreover, we all know it has spread in our country, Indonesia?

I feel so afraid, I do. And I am sure that everyone is having the same feeling like me.
#CoronaVirusUpdate"
6,I HATE ONLINE SCHOOL FUCK OFF ID RATHER HAVE CORONA THAN DEAL WITH THIS SHIT
7,@pawan_12_9 Police department..try to find him asap and shoot him on spot...so that those who affected with corona gets fear and stays and hospital without spreading to anyone
8,The pandemic is causing me more anxiety which is causing my chest to fele tight which causes more anxiety and the cycle continues... https://t.co/lfG669yxDm
9,"RT @ProJared: The Corona Virus is causing shipping delays for physical copies of #AnimalCrossing

I wanna try to help those affected!

⏩ Re…"
10,RT @bizzlesluf: Justin went live to say a prayer for the whole world affected by corona outbreak. This is why he’s the most precious person…
11,RT @tonyposnanski: OMFG this president is a piece of shit.
12,RT @aschiavone: If you haven't checked out the anxiety podcast I do with @NotSteveRogers now is a good time to subscribe!  We talked about…
13,"RT @Catladyduck_: Corona virus don’t affect cats so bitch I’m a cat 🐱 
-
https://t.co/SmoZspIck1 
•
•
https://t.co/YQEKg0Ea3d
•
•
https://t…"
14,Wait 🤔 idk if this is true or not but I definitely almost died from the “flu” during winter break. Worst flu I ever experienced I barely left my room for over a week. At one point I felt like I was hallucinating and everything was green 😂 https://t.co/Cb2SwLJJVp
15,"Yogi Maharaj is ten steps ahead of other CM in everything, be it controlling riots or fighting corona. #IndiaFightsCorona #IndiaVsCorona 

https://t.co/GnghJCHXHx"
16,@nbstv The country that offers the loan has not been affected by corona? Or they they also went and borrowed from someone else?
17,"@KSanagasetti @businessline @BlPortfolio @lokeshwarri @RadhikaMerwin @anandg_kalyang @vardhiniritesh Will tax effect on corona 🤔🤔🤔
Or
Corona affect tax 🤔🤔🤔"
18,"RT @rossiepollie: jokes aside, I want this corona virus shit done and gone."
19,RT @Princemudi_: This Corona virus has proven one thing. It takes God nothing to wipe off everything and everyone from the face of this Ear…
20,"RT @dxniro: Corona took my job, all the food, the people dem man, the summer, the body, the motives and now my throat feeling ticklish- htt…"
21,RT @TananariveDue: The racism is the point.
22,RT @cloakzy: I just want this corona shit to pass my anxiety is brutal 24/7
23,😫 At this point just give me the virus. #Corona https://t.co/7GZVF9dXpJ
24,fuck this life shit take me corona im ready
25,He has a point #SNP https://t.co/aHvk0vaWg8
26,"🚨🚨ITSR: Corona-pocolypse: Death, Deceit and Democracy

Tuesday 7-9PM CST

IUIC DALLAS Leadership discuss The COV-19 Corona virus pandemic

SUBSCRIBE  👇🏾
https://t.co/WOXQZ7FR2H
🚨 https://t.co/fdZdxW5so1"
27,"1) the plague was only in Europe, corona is literally worldwide 

2) it’s just getting started, it has the potential to kill 13 million people at its death rate right now and that’s only in the US 😐 https://t.co/efEjPm1aae"
28,"RT @matt_shantz: What an awful reality. 

More isolating means more domestic abuse, more kids going hungry who would normally be fed at sch…"
29,RT @HeyItsRaeKwon: This Corona shit is about to get so real. STAY INSIDE. U.S is about to get shut down bro
30,So my birthday is literally 2 weeks away and this dumb ass corona virus got the world shut down! I was pose to be in Puerto Rico living my best life this year 🤦🏽‍♂️ y’all know my birthday/week I’d like a national holiday. https://t.co/tTXVaImPYU
31,"corona, you need to go. like you really can’t stay here.. ruinin our lives and shit"
32,RT @citazworld: If u aren’t in respiratory distress u don’t matter n more than likely will be turned away. Active labor goes to labor n del…
