nondepressed,depressed
1728,3422
1987,3628
2083,4201
3057,5006
2723,4670
3116,5430
4734,5594
5021,5725
4921,5576
5210,5540
4928,5391
4017,5110
4236,5137
4344,4959
4393,4922
4113,4961
4204,4808
4273,5101
4304,5071
4442,5385
4507,5250
4489,5242
4076,4378
4023,4484
3939,4631
4692,5339
4390,5530
4812,5739
4779,5406
3963,5024
4099,4983
