hashtags,place,text,user_description,user_location
diktatur b2908,,was ne lame #diktatur #b2908 https://t.co/Ge952i8DlF,#leavenoonebehind #antifascist #blacklivesmatter #heforshe #climatejustice he/him 🥦,🏴‍☠️
,,"RT @DJBURNS_was: Since Covid started the rounds, has anyone actually had the common cold? 🤷‍♂️",Man of beer and other interesting things !.,
,,"RT @surambaya: In the last 4 days:

-Ngiritas forfeit property

-Obado to face graft charges

-Stephen Soi (rio scandal) in court

-DPP ord…",,"Kericho, Kenya"
,,"RT @SethAbramson: BREAKING NEWS: Senior White House Official Tells CNN That ""Everybody"" in America Will Get COVID-19; White House Statement…",Unaffiliated red state voter: voting BLUE to save America. RN that sees healthcare in this country puts profit over people. Wear a mask and wash your hands!,
Covid19,,"RT @lawyer4laws: Funny . . 
I haven't heard anyone News Media mentioning the ""Pandemic"" #Covid19 . .Concerning the March on Washington

*Bu…","🐎⛳🚀📖https://t.co/aKqH1deJ6E🙏braveSons✨USMC.GoldStarWife

✨ThankYou #USArmedForcesAllies #Veterans #1stResponders✨

God Bless @GenFlynn✨@lofly727🌼@FLOTUS🌼 @POTUS✨",by the sea
,,RT @tinapcanada: 4)  They lied about WMD's in IRAQ. They're lying about CHOLESTEROL and STATIN drugs. They lied about CHEMOTHERAPY AND RADI…,,Alberta Canada
,,RT @RNRtwits: Off-campus parties are a tradition at the end of the first week of classes at UNR. Some students say they won't be denied the…,"The Sierra Nevada Ally is a nonprofit news organization focused on the environment/science, k-12 education, governance, and arts in northern NV and Tahoe Sierra","Reno, NV"
,"Colorado, USA","Hate Drumpf and his horrendous lack of response as much as anyone, but John Prine(and his wife) were touring in Europe and returned so he could have surgery on his hip...more likely got it there although the US response/lack of treatment may have hastened his death 😢😢😢😢😢😢 https://t.co/2ctoxesqB1","🇺🇸♥️👮 Broncos, Nuggets, Rockies, Avalanche, CU Buffs, Iowa Hawkeyes/Cyclones, HS/College Wrestling....Sport Psychology Professional...Baseball is my passion!",
,,"RT @simondolan: Been challenged many times over these last couple of months to ""go on a COVID ward without a mask""

Could someone please po…","@KBF supporter.
 
The two most important days of your life are the day you were born and the day you find out why.","England, United Kingdom"
,,RT @fabianleelozano: mad respects to anyone who been hustlin thru this pandemic,18,w a blunt in my hand 
,,RT @sarahcpr: The RNC will likely be deemed a super spreader of both coronavirus and bullshit propaganda,"“As fast as the wind, as quiet as the forest, as daring as fire, and immovable as the mountain.” The Lord is a Warrior. Exodus 15:3 KAPSI 1911",Boston
,,RT @khannadeem007: Despite numbers of students raising their voices to postpone the JEE &amp; NEET due to ongoing pandemic the govt has still m…,,
,,"Nobody's seem to care any more &amp; Nobody is questioning the govt and we have settled into ""what can anyone do""? I attribute that to the genius of this govt's continuous messaging that it's on us to curb the virus and they can't do anything about it
https://t.co/4EeCDYyGB2",The Mythical full stack developer. Building @exotel,Bangalore
,,"RT @catturd2: Democrats and Fake News are suddenly worried about COVID again because of the Trump speech. 

Remember - riots are immune.…",#ProLife🇺🇸 #Trump2020 🇺🇸 #AmericaFirst 🇺🇸#BuildTheWall 🇺🇸#ImmigrationReform🇺🇸 #KAG 🇺🇸#Christian ✝️ IFB all #Patriots 🇺🇸 #MAGA🇺🇸,America🇺🇸
2020census,,RT @rolandsmartin: 8.28 March on Washington; RNC wraps &amp; Trump fails: 180k dead from COVID; #2020census matters special https://t.co/ZQUFPr…,"#STEELDRUMARTIST  Percussionist, Film Score, Composer, Producer & Director! Always looking for some new tunes! https://t.co/matmtL1QVj",Steel Drum Music
,,RT @DWUhlfelderLaw: Governor DeSantis' Department of Health claims number of COVID-19 cases in Florida schools is confidential https://t.co…,Cheeto Witnessing undoing of #Traitortrump. Resemblance to #Comrade Trump; only coincidental. #CadetBoneSpurs  #TaxCheatTrump #trumpvirus #SickPresident,$421 Adderall Ave
,,RT @nsui: The decision to conduct NEET and JEE examinations in the Corona epidemic is putting students at risk of corona. The mental stress…,"Some nights, I burn in the fire of my own thoughts 🖤",
JEE_NEET,,"RT @SonuSood: Incase #JEE_NEET happens: To all the students who will be appearing &amp; are struck in flood hit areas of Bihar, Assam &amp; Gujrat.…","If you are curious about maths and physics as I am, I guess I am probably not alone.","Jaipur, India"
,,RT @Swamy39: I am reliably informed that FM N. Sitharaman told a meeting that COVID-19 is an act God!! I will post the video soon. Was the…,Chief Spokesperson for AAM AADMI PARTY UP • IT Techie • Humanity is the only religion I believe in,"लखनऊ, भारत"
,,"Hello so I posted a cover I did a couple months ago (when quarantine started) on my ol soundcloud huhu

Re-listened to it and I'm still happy with it huhu","fine. maybe i am predictable. 
they/them
21",QC
,,RT @johanna_ralston: Stunning to consider that health was not included as one of the ten principles  for the UN Global Compact back in 2000…,🇺🇳 Cross-cutting Lead Strategy (#NCDs) @WHO 🇨🇭. Former @ITU @UNDP @UNODC @UNRWA-er in 🇫🇯🇨🇺🇦🇹 🇵🇪 🇵🇸. @UniLeiden 🇳🇱. #ResolutionNerd,Tweets are personal views.
,,"RT @pleu711: @RT93609537 @CalebJHull @seanmdav But 50,000 people can gather in Washington - if masks can protect them than surely teachers…",🌠Very Married ... Independent ... Honesty Required ... Seeker of Knowledge ... Retweets are NOT Endorsements ... No DMs,
,,"RT @09a9y2Q8gapCvb5: @Independent We all know the reason of delaying because of pandemic.
So,was Covid existed before 4to9 years?No.
Then,w…","💒💒jesus said(( I am the light of the world, who follow me, to live in his darkness.))🙏🙏🙏","Kırşehir, Türkiye"
