hashtags,place,text,user_description,user_location
,,RT @jaboukie: the reason corona wasn’t discovered earlier in the US,help am female,In your mum
mirihannaperry,,"@DJXCLUSIVE We want Corona out!!!!! 
Dropped today 🔥 
By youngest African female rapper #mirihannaperry ....
Now playing 🔥 
https://t.co/0Hl3z1vn4Y
Download and share!!!!","Afro Pop and Trap Artist  🎙
Song Writer ✒ 📖 
Skin Model 👑",
,,RT @coolfrnds4u: @Nicks103 I know of a state where if people dies of Corona but have other medical issues like diabetes he is not counted a…,Om Namah Shivāya.The Universe bows to Lord Shiva.I bow to  Goddess Sati & Lord Shiva...,India
,,"RT @tallstories: No, Ayurveda did not cure Prince Charles of Covid-19, his office denies claims of AYUSH minister Shripad Naik https://t.co…",,
,,"RT @brettroberts: This is insane.

Corona virus deaths vs. other epidemics from day of first death... https://t.co/4eMJVUuLVk",My comments are my own (or maybe pinched from elsewhere). I ramble on about anything,"Sydney, NSW"
,,RT @no_silenced: Omg that was close....I thought i should be tested for Corona because was out of breath....Then i realized i was tying my…,"🌸 Independent, college educated mom who voted for #TRUMP ❤️ He supports #MAGA for my kids & for Americans, Freedom, Fairness & Less Gov't. #AmericaFirst 🦋",United States
,,I think I’ve had corona already.,27. Music Talk. Label Talk. All Talk. Syrian 🇸🇾,
,,@Kian WAIT PLS BC I WANT MERCH BUT IM SO BROKE BC I LOST MY JOB BC CORONA 😭😭😭 @ Carolsh https://t.co/P5ugoHgstZ,is your first name corbin? bc you just bleu me away,
GuruQ onlintutor onlinetuition onlineclasses onlineeducation onlinetutor corona staysafe,,"Make The Most Of Quarantine Days! Book Online Classes Now Only On GuruQ.

For more details visit our website - https://t.co/vkhcY1j9Au

Download GuruQ App Now!

#GuruQ #onlintutor #onlinetuition #onlineclasses #onlineeducation #onlinetutor #corona #staysafe https://t.co/f6KWZeXPBT",India's Best Tutoring Platform!,"New Delhi, India"
,,"RT @thakur_shivangi: From Go-Corona to No-Corona !!!
@RamdasAthawale shares new slogan. https://t.co/WVbB0cKRHn",,"Gaya, India"
,,Hellye https://t.co/7bhlaT2bHi,,
,,"RT @GogontlejangP: Minister Molao is on BTV via video call, presenter is in studio ko BTV with 4 journalists, the rest will dial in. 

Heee…",Psalms 126:3 ❤,"Molepolole, Botswana"
,,RT @BankyW: So for the State Governments that have suspended isolation &amp; social distancing for Easter... do they have an agreement with the…,"Sailor,
Maritime transport Manager.","Lagos, Nigeria"
