hashtags,place,text,user_description,user_location
,,@TheRealPitso Why bale this close... agona Corona mowe Egypt kanti?,now i understand the game for what it is,Australia & South Africa
,,White House accuses Pelosi of 'not being serious' about coronavirus relief https://t.co/u99KZCK0X9 via @Yahoo,,"Chico, CA"
,,"RT @realDonaldTrump: Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We…",iup - ΚΣ,none of your fucking business
KIAB,,@LindseyGrahamSC @realDonaldTrump @FLOTUS @MELANIATRUMP He’s shameful!!!!!! He should have worn the mask instead of making fun of people who did. He should have protected people instead of calling Covid a hoax made up by the democrats. Come on Linsey!! #KIAB https://t.co/YVSKHtJVD0,Layla Fanucci is an International Artist and author most famous for her unique cityscapes paintings.,"St Helena, California"
,,RT @joelockhart: This is the world we live in. The Kimberly story gave us a break from the Trump the racist story. The Melania tapes gave u…,"Retired from house cleaning business. Mom to four , 3 boys one girl... Granny to four boys... PROUD RESISTER !!!","Aransas Pass, TX"
,,RT @DrEricDing: WORRIED—you almost **never ever** give someone a clinically untested drug like @Regeneron’s polyclonal antibody drug—unless…,snotty little girl / Rochester NOW President,new york
,,RT @kurteichenwald: Exactly like Trump did in 2016 when HRC stopped campaigning because of pneumonia. And Fox wished her well. Wait! Trump…,"Remainer & tory hater, especially  tory ***kers in Shropshire that pulled up the ladder and sold UK farmers down the river. Troll & brexit moron-free zone.",Middle England. 
,,I miss lockdown. The efficiency with which my obgyn office was running was on point and now it’s back to SLLLOOOOWWWW,"Wife, mom, graphic designer, millennial. American by birth, southern by the grace of God.",The Old North State
TrumpHasCovid,,"RT @fallawaybandito: corona making it’s way through trump’s body 
#TrumpHasCovid
https://t.co/ukbHCul7bO",wesley alum • 301 ➡️ 757,"Norfolk, VA"
,,Absolutely agree.  I knew it was a trick the moment they gave her name.  Secret service and others around Trump have contracted Covid and they NEVER printed their names. Hope's name is ALWAYS front and center. https://t.co/Z3W3qD4jmr,"Cat lover, Agnostic, Democrat. Proud to state I am not stubborn. I always try to think how my actions will affect others.     https://t.co/PHCPTXCSA5",Calif 
,,@kinneytimes Wont trump be in quarantine!,,
